stamp	flags	arm	exit	N	ns_median	ns_mean	ns_min	ns_max	status
20260812T190614Z	-O3	R-free	ok	20000000	2.0314	2.0314	1.9261	2.1367	ok
20260812T190614Z	-O3	R-gc-shape	ok	20000000	1.0901	1.0901	1.0826	1.0976	ok
20260812T190614Z	-O3	R-stack-twin	ok	20000000	1.0738	1.0738	1.0609	1.0867	ok
20260812T190614Z	-O3	R-free-compose	ok	2000000	67.8119	67.8119	63.1390	72.4849	ok
20260812T190614Z	-O3	R-gc-shape-compose	ok	2000000	12.4505	12.4505	11.7300	13.1711	ok
20260812T190614Z	-O3	R-fail-closed-shape	ok	2000000	29.5022	29.5022	26.0889	32.9154	ok
20260812T190614Z	-O3 -flto	R-free	ok	20000000	0.9772	0.9772	0.8291	1.1254	ok
20260812T190614Z	-O3 -flto	R-gc-shape	ok	20000000	1.0170	1.0170	0.9492	1.0847	ok
20260812T190614Z	-O3 -flto	R-stack-twin	ok	20000000	0.9008	0.9008	0.7745	1.0271	ok
20260812T190614Z	-O3 -flto	R-free-compose	ok	2000000	31.6688	31.6688	29.4472	33.8905	ok
20260812T190614Z	-O3 -flto	R-gc-shape-compose	ok	2000000	11.8850	11.8850	11.2503	12.5198	ok
20260812T190614Z	-O3 -flto	R-fail-closed-shape	ok	2000000	20.4040	20.4041	20.2967	20.5114	ok
